NOMBRE PARQUE,wikidata_URI,id_treecount,ESPECIE,UNIDADES 2024
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Prunus cerasifera  subsp. pissardii",Prunus cerasifera  subsp. pissardii,6
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Populus alba 'Bolleana'",Populus alba 'Bolleana',5
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Betula utilis",Betula utilis,2
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus atlantica 'Glauca'",Cedrus atlantica 'Glauca',2
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Carpinus betulus",Carpinus betulus,2
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Ligustrum japonicum",Ligustrum japonicum,2
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Otros",Otros,13
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Platanus x hispanica,Platanus x hispanica,160
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Acer campestre,Acer campestre,80
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Acer platanoides 'Crimson King',Acer platanoides 'Crimson King',68
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Acer saccharinum,Acer saccharinum,67
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Cercis siliquastrum,Cercis siliquastrum,43
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Physostegia virginiana,Physostegia virginiana,42
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Punica granatum,Punica granatum,41
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Acer x freemanii 'Autumn Blaze',Acer x freemanii 'Autumn Blaze',39
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Acer monspessulanum,Acer monspessulanum,34
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Koelreuteria paniculata,Koelreuteria paniculata,33
Parque España,https://www.wikidata.org/entity/Q100442902,JARDINES DE LA PLAZA DE ESPAÑA_Otros,Otros,385
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Celtis australis,Celtis australis,256
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Fraxinus angustifolia,Fraxinus angustifolia,248
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Melia azedarach,Melia azedarach,210
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Quercus ilex,Quercus ilex,199
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Morus alba,Morus alba,183
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Acer campestre,Acer campestre,167
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Gleditsia triacanthos,Gleditsia triacanthos,125
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Cydonia oblonga,Cydonia oblonga,123
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Elaeagnus angustifolia,Elaeagnus angustifolia,123
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Ulmus pumila,Ulmus pumila,114
La Gavia Park,https://www.wikidata.org/entity/Q105617857,PARQUE DE LA GAVIA_Otros,Otros,1435
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Pinus pinea,Pinus pinea,574
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Pyrus calleryana,Pyrus calleryana,54
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Celtis australis,Celtis australis,38
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Fraxinus sp,Fraxinus sp,33
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Fraxinus angustifolia,Fraxinus angustifolia,31
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Tilia cordata,Tilia cordata,30
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Populus nigra,Populus nigra,27
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Quercus ilex,Quercus ilex,15
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Quercus rubra,Quercus rubra,15
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Acer pseudoplatanus,Acer pseudoplatanus,14
Atalayuela de El Pardo,https://www.wikidata.org/entity/Q115499485,PARQUE DE LA ATALAYUELA_Otros,Otros,23
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Ulmus minor,Ulmus minor,1020
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Prunus dulcis,Prunus dulcis,295
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Ailanthus altissima,Ailanthus altissima,207
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cercis siliquastrum,Cercis siliquastrum,170
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Pinus pinea,Pinus pinea,151
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Celtis australis,Celtis australis,149
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cedrus deodara,Cedrus deodara,130
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cupressus sempervirens,Cupressus sempervirens,111
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cedrus atlantica,Cedrus atlantica,95
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Pinus halepensis,Pinus halepensis,93
Quinta de Torre Arias Park,https://www.wikidata.org/entity/Q33141667,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Otros,Otros,857
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Pinus halepensis,Pinus halepensis,356
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Olea europaea,Olea europaea,230
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Prunus dulcis,Prunus dulcis,227
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus faginea,Quercus faginea,204
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Juniperus phoenicea,Juniperus phoenicea,112
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus ilex,Quercus ilex,92
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Ulmus pumila,Ulmus pumila,89
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Cupressus sempervirens,Cupressus sempervirens,72
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Celtis australis,Celtis australis,56
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus coccifera,Quercus coccifera,50
Bosque Metropolitano,https://www.wikidata.org/entity/Q97647080,BOSQUE DE LOS ABRAZOS PERDIDOS_Otros,Otros,310
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Pinus pinea,Pinus pinea,518
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Celtis australis,Celtis australis,304
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Ulmus pumila,Ulmus pumila,249
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Acer pseudoplatanus,Acer pseudoplatanus,190
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Melia azedarach,Melia azedarach,135
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Pinus halepensis,Pinus halepensis,119
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Quercus coccifera,Quercus coccifera,106
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Quercus ilex,Quercus ilex,83
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Salix sp,Salix sp,70
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Morus nigra,Morus nigra,60
"Parque de las Comunidades, Alcorcón",https://www.wikidata.org/entity/Q52777091,PARQUE DE LAS COMUNIDADES_Otros,Otros,992
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Pinus pinea,Pinus pinea,1483
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Platanus x hispanica,Platanus x hispanica,566
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Olea europaea,Olea europaea,506
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Celtis australis,Celtis australis,425
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Cupressus sempervirens,Cupressus sempervirens,405
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Gleditsia triacanthos,Gleditsia triacanthos,257
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Tilia platyphyllos,Tilia platyphyllos,222
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Populus nigra,Populus nigra,145
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Tilia tomentosa,Tilia tomentosa,138
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Pinus nigra,Pinus nigra,120
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Otros,Otros,1245
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Populus nigra,Populus nigra,2381
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Celtis australis,Celtis australis,1822
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Pinus pinea,Pinus pinea,974
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Fraxinus angustifolia,Fraxinus angustifolia,862
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Ulmus sp,Ulmus sp,473
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Pinus halepensis,Pinus halepensis,274
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Koelreuteria paniculata,Koelreuteria paniculata,159
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Ulmus pumila,Ulmus pumila,132
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Cedrus deodara,Cedrus deodara,127
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,120
Lineal Park,https://www.wikidata.org/entity/Q24023226,PARQUE LINEAL DE MANZANARES SUR_Otros,Otros,721
